label,treatment,flux,swc,ts,date_time,year,yday,time,ftime,Soil_C
1,Disturbance,1.424,0,25.65,2023-06-06T12:04:00Z,2023,157,1,1,
1,Disturbance,1.347666667,0,30.13,2023-06-09T14:11:00Z,2023,160,4,4,
1,Disturbance,2.616666667,0.11,33.17333333,2023-06-12T17:35:40Z,2023,163,7,7,
1,Disturbance,1.935,0.163333333,34.37333333,2023-06-16T17:02:20Z,2023,167,11,11,
1,Disturbance,1.388,0.25,24.83,2023-06-23T15:20:00Z,2023,174,18,18,
1,Disturbance,3.092,0,34.33333333,2023-07-06T15:43:20Z,2023,187,31,31,
1,Disturbance,2.155666667,0.103333333,29.45666667,2023-08-05T13:24:40Z,2023,217,61,61,
1,Disturbance,3.668333333,0.15,36.20333333,2023-08-15T15:47:00Z,2023,227,71,71,
1,Disturbance,1.379333333,0,26.66666667,2023-09-11T13:38:00Z,2023,254,98,98,
1,Disturbance,1.723666667,0.046666667,31.86666667,2023-09-18T16:29:40Z,2023,261,105,105,
1,Disturbance,1.239,0,28.5,2023-09-25T15:09:20Z,2023,268,112,112,
1,Disturbance,1.301,0,30.2,2023-10-02T15:23:30Z,2023,275,119,119,
1,Disturbance,0.493946667,0.343356667,15.10555667,2024-01-29T16:56:06Z,2024,29,210,210,
1,Disturbance,0.805866667,0.356063333,18.41889,2024-01-30T18:30:03Z,2024,30,211,211,
1,Disturbance,0.6088,0.3065,19.16777667,2024-01-31T18:57:08Z,2024,31,212,212,
1,Disturbance,0.397803333,0.378,12.14166667,2024-02-05T17:05:58Z,2024,36,217,217,
1,Disturbance,0.51121,0.28595,19.23333333,2024-02-06T18:39:30Z,2024,37,218,218,
1,Disturbance,0.465556667,0.305076667,17.27111333,2024-02-07T21:00:35Z,2024,38,219,219,
1,Disturbance,0.650363333,0.2508,15.98333333,2024-03-25T15:35:50Z,2024,85,266,266,
1,Disturbance,0.443453333,0.368086667,13.83278,2024-03-27T12:00:20Z,2024,87,268,268,
1,Disturbance,0.386323333,0.274183333,12.52,2024-03-29T13:29:15Z,2024,89,270,270,
1,Disturbance,0.67486,0.127416667,21.54111,2024-04-01T14:04:25Z,2024,92,273,273,
1,Disturbance,1.60912,0.308871667,22.52388667,2024-07-30T12:16:02Z,2024,212,393,393,
1,Disturbance,1.926686667,0.303433333,32.09666667,2024-07-31T15:02:45Z,2024,213,394,394,
1,Disturbance,1.858356667,0.266766667,32.76,2024-08-01T14:23:13Z,2024,214,395,395,
1,Disturbance,1.849266667,0.122333333,31.06666667,2024-08-02T13:35:23Z,2024,215,396,396,
2,NPK,0.733333333,0,25.41,2023-06-06T12:11:00Z,2023,157,1,1,
2,NPK,0.696,0,32.11333333,2023-06-09T14:20:00Z,2023,160,4,4,
2,NPK,1.341666667,0.146666667,31.75333333,2023-06-12T17:27:20Z,2023,163,7,7,
2,NPK,1.052666667,0.14,34.16333333,2023-06-16T16:56:40Z,2023,167,11,11,
2,NPK,0.952666667,0.12,24.17666667,2023-06-23T15:27:20Z,2023,174,18,18,
2,NPK,2.770666667,0.07,34.2,2023-07-06T15:36:40Z,2023,187,31,31,
2,NPK,2.100333333,0,27.45,2023-08-05T13:32:40Z,2023,217,61,61,
2,NPK,2.765333333,0.14,32.65666667,2023-08-15T15:40:00Z,2023,227,71,71,
