AcctNo,Company,First,Last,Address,City,State,Zip,Country,Grower,FarmID,FieldID,Received,Processed,Matrix,LabID,label,Total C (%),Replicate,Total N (%),Comments,bulk_density,root_density ,c_stock (g),c_stock (kg),
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34351,1,1.51,1,0.08,,0.867179326,0.000254091,16611.45315,16.61145315,18132.35029
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34352,2,1.72,1,0.11,,0.971517138,5.72E-05,21198.28252,21.19828252,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34353,3,2.52,1,0.13,,0.672824093,0.000369049,21509.17922,21.50917922,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34354,4,2.31,1,0.12,,1.187864843,0.000433682,34809.73937,34.80973937,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34355,5,1.19,1,0.07,,0.955894712,0.000108051,14430.41375,14.43041375,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34356,6,1.53,1,0.05,,1.088251156,5.08E-05,21122.35468,21.12235468,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34357,7,1.22,1,0.06,,0.950919455,0.001186582,14717.20456,14.71720456,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34358,8,3.71,1,0.17,,0.838254846,0.000220541,39452.24717,39.45224717,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34359,9,2.36,1,0.14,,0.898990086,0.000469699,26914.64577,26.91464577,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34360,10,2.4,1,0.11,,0.849997321,0.000239783,25879.18299,25.87918299,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34361,11,1.84,1,0.1,,0.615443847,0.000953213,14365.7406,14.3657406,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34362,12,2.41,1,0.15,,0.947834835,0.000322178,28978.2044,28.9782044,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34363,13,2.53,1,0.13,,0.836133307,0.000772635,26836.00152,26.83600152,
